annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,d_ref,scaling_factor,particle_size_min,particle_size_max
9.024e-05,0.0001,0.227868,0.0575321,0.942468,0.999424,0.120869,2.05626e-05,4.25333e-06,6.96763e-05,6578.137,0.26,1.0,0.01,0.04
0.0002906,0.0001,0.606962,0.0542836,0.945716,0.999391,0.187612,0.000176393,6.55636e-06,0.000114224,6678.137,0.26,1.0,0.01,0.04
0.0006605,0.0001,0.771047,0.0218104,0.97819,0.998598,0.107844,0.000509312,3.37202e-06,0.000151234,6778.137,0.26,1.0,0.01,0.04
0.001521,0.0001,0.812787,0.0117898,0.98821,0.99612,0.0733932,0.00123624,3.39716e-06,0.000284748,6878.137,0.26,1.0,0.01,0.04
0.003731,0.0001,0.847844,0.00730503,0.992695,0.987763,0.0463959,0.00316364,4.17799e-06,0.000567755,6978.137,0.26,1.0,0.01,0.04
0.006444,0.0001,0.891189,0.00454561,0.995454,0.975383,0.0284829,0.00574267,3.20176e-06,0.000701161,7078.137,0.26,1.0,0.01,0.04
0.01088,0.0001,1.0,,,0.0,0.0,0.0108773,0.0,0.0,7178.137,0.26,1.0,0.01,0.04
4.482e-06,0.0001,0.0572581,0.0572581,0.942742,0.999422,0.00730646,2.56646e-07,2.56646e-07,4.22561e-06,6578.137,0.26,1.0,0.04,0.07
9.22e-06,0.0001,0.0519132,0.0519132,0.948087,0.999366,0.0137885,4.78654e-07,4.78654e-07,8.74163e-06,6678.137,0.26,1.0,0.04,0.07
2.995e-05,0.0001,0.0143383,0.0143383,0.985662,0.998048,0.0151232,4.29398e-07,4.29398e-07,2.95182e-05,6778.137,0.26,1.0,0.04,0.07
0.0001336,0.0001,0.00636201,0.00636201,0.993638,0.996832,0.0418954,8.49904e-07,8.49904e-07,0.00013274,6878.137,0.26,1.0,0.04,0.07
0.0002492,0.0001,0.00537892,0.00537892,0.994621,0.987672,0.0201032,1.34026e-06,1.34026e-06,0.000247828,6978.137,0.26,1.0,0.04,0.07
0.0004995,0.0001,0.00201146,0.00201146,0.997989,0.974889,0.0198537,1.00481e-06,1.00481e-06,0.000498536,7078.137,0.26,1.0,0.04,0.07
0.001062,0.0001,0.00496984,0.00496984,0.99503,0.987789,0.086555,5.27913e-06,5.27913e-06,0.00105695,7178.137,0.26,1.0,0.04,0.07
1.131e-06,0.0001,0.056159,0.056159,0.943841,0.999414,0.0018214,6.35314e-08,6.35314e-08,1.06775e-06,6578.137,0.26,1.0,0.07,0.1
6.772e-06,0.0001,0.0540617,0.0540617,0.945938,0.999393,0.0105575,3.66108e-07,3.66108e-07,6.40594e-06,6678.137,0.26,1.0,0.07,0.1
2.363e-05,0.0001,0.00795592,0.00795592,0.992044,0.996995,0.00780079,1.87967e-07,1.87967e-07,2.34381e-05,6778.137,0.26,1.0,0.07,0.1
4.51e-05,0.0001,0.00476939,0.00476939,0.995231,0.995999,0.0112174,2.15085e-07,2.15085e-07,4.48818e-05,6878.137,0.26,1.0,0.07,0.1
0.000117,0.0001,0.00103646,0.00103646,0.998964,0.988066,0.00979006,1.2122e-07,1.2122e-07,0.000116835,6978.137,0.26,1.0,0.07,0.1
0.0002973,0.0001,0.000360322,0.000360322,0.99964,0.971973,0.010603,1.07115e-07,1.07115e-07,0.000297169,7078.137,0.26,1.0,0.07,0.1
0.0004343,0.0001,0.00213949,0.00213949,0.997861,0.987161,0.033755,9.29221e-07,9.29221e-07,0.000433389,7178.137,0.26,1.0,0.07,0.1
3.447e-07,0.0001,0.0559308,0.0559308,0.944069,0.999413,0.000554332,1.9277e-08,1.9277e-08,3.25382e-07,6578.137,0.26,1.0,0.1,0.13
1.757e-06,0.0001,0.0530499,0.0530499,0.94695,0.999379,0.00267918,9.32074e-08,9.32074e-08,1.66377e-06,6678.137,0.26,1.0,0.1,0.13
5.939e-06,0.0001,0.0122893,0.0122893,0.987711,0.997877,0.00276328,7.29869e-08,7.29869e-08,5.86607e-06,6778.137,0.26,1.0,0.1,0.13
2.526e-05,0.0001,0.00310748,0.00310748,0.996893,0.995398,0.00547305,7.85043e-08,7.85043e-08,2.51845e-05,6878.137,0.26,1.0,0.1,0.13
5.445e-05,0.0001,0.00102846,0.00102846,0.998972,0.983174,0.00323263,5.59989e-08,5.59989e-08,5.43933e-05,6978.137,0.26,1.0,0.1,0.13
0.0001106,0.0001,0.000111116,0.000111116,0.999889,0.969196,0.00358983,1.22887e-08,1.22887e-08,0.00011058,7078.137,0.26,1.0,0.1,0.13
0.0001878,0.0001,0.00212409,0.00212409,0.997876,0.9806,0.00966208,3.98991e-07,3.98991e-07,0.000187442,7178.137,0.26,1.0,0.1,0.13
4.782e-07,0.0001,0.0544375,0.0544375,0.945562,0.999401,0.000755236,2.6033e-08,2.6033e-08,4.52185e-07,6578.137,0.26,1.0,0.13,0.16
2.746e-06,0.0001,0.0550236,0.0550236,0.944976,0.999405,0.0043629,1.51106e-07,1.51106e-07,2.59509e-06,6678.137,0.26,1.0,0.13,0.16
1.343e-05,0.0001,0.0113652,0.0113652,0.988635,0.997778,0.00597727,1.52686e-07,1.52686e-07,1.32818e-05,6778.137,0.26,1.0,0.13,0.16
5.137e-05,0.0001,0.00618259,0.00618259,0.993817,0.996138,0.01322,3.17618e-07,3.17618e-07,5.10553e-05,6878.137,0.26,1.0,0.13,0.16
